Município;Estado;Ano de Referência;IDHM
Alvarães ;AM;2000;0,37
Alvarenga ;MG;2000;0,48
Álvares Florence ;SP;2000;0,67
Álvares Machado ;SP;2000;0,66
Álvaro de Carvalho ;SP;2000;0,56
Alvinlândia ;SP;2000;0,56
Alvinópolis ;MG;2000;0,57
Alvorada de Minas ;MG;2000;0,43
Alvorada D'Oeste ;RO;2000;0,47
Alvorada do Gurguéia ;PI;2000;0,40
Alvorada do Norte ;GO;2000;0,53
Alvorada do Sul ;PR;2000;0,65
Alvorada ;RS;2000;0,58
Alvorada ;TO;2000;0,58
Amajari ;RR;2000;0,42
Amambai ;MS;2000;0,58
Amapá ;AP;2000;0,50
Amapá do Maranhão ;MA;2000;0,33
Amaporã ;PR;2000;0,59
Amaraji ;PE;2000;0,42
Amaral Ferrador ;RS;2000;0,51
Amaralina ;GO;2000;0,48
Amarante do Maranhão ;MA;2000;0,37
Amarante ;PI;2000;0,46
Amargosa ;BA;2000;0,49
Amaturá ;AM;2000;0,41
Amélia Rodrigues ;BA;2000;0,51
América Dourada ;BA;2000;0,39
Americana ;SP;2000;0,74
Americano do Brasil ;GO;2000;0,59
Américo Brasiliense ;SP;2000;0,66
Américo de Campos ;SP;2000;0,64
Ametista do Sul ;RS;2000;0,54
Amontada ;CE;2000;0,42
Amorinópolis ;GO;2000;0,56
Amparo de São Francisco ;SE;2000;0,42
Amparo do Serra ;MG;2000;0,46
Amparo ;PB;2000;0,39
Amparo ;SP;2000;0,72
Ampére ;PR;2000;0,62
Anadia ;AL;2000;0,43
Anagé ;BA;2000;0,31
Anahy ;PR;2000;0,60
Anajás ;PA;2000;0,31
Anajatuba ;MA;2000;0,40
Analândia ;SP;2000;0,69
Anamã ;AM;2000;0,41
Ananás ;TO;2000;0,50
Ananindeua ;PA;2000;0,61
Anápolis ;GO;2000;0,64
Anapu ;PA;2000;0,39
Anapurus ;MA;2000;0,42
Anastácio ;MS;2000;0,52
Anaurilândia ;MS;2000;0,52
Anchieta ;ES;2000;0,63
Anchieta ;SC;2000;0,56
Andaraí ;BA;2000;0,38
Andirá ;PR;2000;0,64
Andorinha ;BA;2000;0,38
Andradas ;MG;2000;0,64
Andradina ;SP;2000;0,72
André da Rocha ;RS;2000;0,59
Andrelândia ;MG;2000;0,57
Angatuba ;SP;2000;0,61
Angelândia ;MG;2000;0,41
Angélica ;MS;2000;0,55
Angelim ;PE;2000;0,43
Angelina ;SC;2000;0,55
Angical ;BA;2000;0,43
Angical do Piauí ;PI;2000;0,48
Angicos ;RN;2000;0,53
Angico ;TO;2000;0,49
Angra dos Reis ;RJ;2000;0,60
Anguera ;BA;2000;0,43
Ângulo ;PR;2000;0,63
Anhanguera ;GO;2000;0,59
Anhembi ;SP;2000;0,63
Anhumas ;SP;2000;0,59
Anicuns ;GO;2000;0,60
Anísio de Abreu ;PI;2000;0,43
Anita Garibaldi ;SC;2000;0,54
Anitápolis ;SC;2000;0,55
Anori ;AM;2000;0,43
Anta Gorda ;RS;2000;0,64
Antas ;BA;2000;0,44
Antonina do Norte ;CE;2000;0,43
Antonina ;PR;2000;0,58
Antônio Almeida ;PI;2000;0,48
Antônio Cardoso ;BA;2000;0,40
Antônio Carlos ;MG;2000;0,56
Antônio Carlos ;SC;2000;0,66
Antônio Dias ;MG;2000;0,50
Antônio Gonçalves ;BA;2000;0,42
Antônio João ;MS;2000;0,51
Antônio Martins ;RN;2000;0,44
Antônio Olinto ;PR;2000;0,50
Antônio Prado de Minas ;MG;2000;0,59
Antônio Prado ;RS;2000;0,68
Aparecida de Goiânia ;GO;2000;0,58
Aparecida D'Oeste ;SP;2000;0,63
Aparecida do Rio Doce ;GO;2000;0,57
Aparecida do Rio Negro ;TO;2000;0,48
Aparecida do Taboado ;MS;2000;0,58
Aparecida ;PB;2000;0,43
Aparecida ;SP;2000;0,69
Aperibé ;RJ;2000;0,62
Apiacá ;ES;2000;0,55
Apiacás ;MT;2000;0,50
Apiaí ;SP;2000;0,61
Apicum-Açu ;MA;2000;0,33
Apiúna ;SC;2000;0,58
Apodi ;RN;2000;0,50
Aporá ;BA;2000;0,40
Aporé ;GO;2000;0,57
Apuarema ;BA;2000;0,39
Apucarana ;PR;2000;0,67
Apuí ;AM;2000;0,44
Apuiarés ;CE;2000;0,43
Aquidabã ;SE;2000;0,43
Aquidauana ;MS;2000;0,56
Aquiraz ;CE;2000;0,50
Arabutã ;SC;2000;0,62
Araçagi ;PB;2000;0,39
Araçaí ;MG;2000;0,58
Aracaju ;SE;2000;0,65
Araçariguama ;SP;2000;0,60
Araças ;BA;2000;0,36
Aracati ;CE;2000;0,52
Aracatu ;BA;2000;0,34
Araçatuba ;SP;2000;0,74
Araci ;BA;2000;0,36
Aracitaba ;MG;2000;0,53
Aracoiaba ;CE;2000;0,45
Araçoiaba da Serra ;SP;2000;0,66
Araçoiaba ;PE;2000;0,43
Aracruz ;ES;2000;0,64
Araçuaí ;MG;2000;0,52
Araçu ;GO;2000;0,57
Aragarças ;GO;2000;0,59
Aragoiânia ;GO;2000;0,56
Aragominas ;TO;2000;0,40
Araguacema ;TO;2000;0,48
Araguaçu ;TO;2000;0,54
Araguaiana ;MT;2000;0,55
Araguaína ;TO;2000;0,58
Araguainha ;MT;2000;0,57
Araguanã ;MA;2000;0,36
Araguanã ;TO;2000;0,39
Araguapaz ;GO;2000;0,55
Araguari ;MG;2000;0,67
Araguatins ;TO;2000;0,43
Araioses ;MA;2000;0,30
Aral Moreira ;MS;2000;0,52
Aramari ;BA;2000;0,45
Arambaré ;RS;2000;0,56
Arame ;MA;2000;0,33
Aramina ;SP;2000;0,63
Arandu ;SP;2000;0,58
Arantina ;MG;2000;0,61
Arapeí ;SP;2000;0,59
Arapiraca ;AL;2000;0,48
Arapoema ;TO;2000;0,48
Araponga ;MG;2000;0,39
Arapongas ;PR;2000;0,67
Araporã ;MG;2000;0,61
Arapoti ;PR;2000;0,63
Arapuá ;MG;2000;0,65
Arapuã ;PR;2000;0,54
Araputanga ;MT;2000;0,60
Araquari ;SC;2000;0,58
Araranguá ;SC;2000;0,67
Arara ;PB;2000;0,39
Araraquara ;SP;2000;0,74
Araras ;SP;2000;0,71
Ararendá ;CE;2000;0,44
Araricá ;RS;2000;0,57
Arari ;MA;2000;0,47
Araripe ;CE;2000;0,37
Araripina ;PE;2000;0,44
Araruama ;RJ;2000;0,58
Araruna ;PB;2000;0,38
Araruna ;PR;2000;0,60
Arataca ;BA;2000;0,37
Aratiba ;RS;2000;0,62
Aratuba ;CE;2000;0,45
Aratuípe ;BA;2000;0,44
Arauá ;SE;2000;0,45
Araucária ;PR;2000;0,63
Araújos ;MG;2000;0,61
Araxá ;MG;2000;0,68
Arceburgo ;MG;2000;0,57
Arco-Íris ;SP;2000;0,64
Arcos ;MG;2000;0,67
Arcoverde ;PE;2000;0,56
Areado ;MG;2000;0,61
Areal ;RJ;2000;0,61
Arealva ;SP;2000;0,66
Areia Branca ;RN;2000;0,55
Areia Branca ;SE;2000;0,44
Areia de Baraúnas ;PB;2000;0,39
Areial ;PB;2000;0,45
Areia ;PB;2000;0,43
Areias ;SP;2000;0,60
Areiópolis ;SP;2000;0,58
Arenápolis ;MT;2000;0,59
Arenópolis ;GO;2000;0,53
Arês ;RN;2000;0,46
Argirita ;MG;2000;0,55
Aricanduva ;MG;2000;0,41
Arinos ;MG;2000;0,51
Aripuanã ;MT;2000;0,53
Ariquemes ;RO;2000;0,56
Ariranha do Ivaí ;PR;2000;0,52
Ariranha ;SP;2000;0,63
Armação dos Búzios ;RJ;2000;0,60
Armazém ;SC;2000;0,67
Arneiroz ;CE;2000;0,42
Aroazes ;PI;2000;0,42
Aroeiras do Itaim ;PI;2000;0,21
Aroeiras ;PB;2000;0,38
Arraial do Cabo ;RJ;2000;0,63
Arraial ;PI;2000;0,41
Arraias ;TO;2000;0,47
Arroio do Meio ;RS;2000;0,69
Arroio do Padre ;RS;2000;0,56
Arroio do Sal ;RS;2000;0,66
Arroio dos Ratos ;RS;2000;0,61
Arroio do Tigre ;RS;2000;0,57
Arroio Grande ;RS;2000;0,59
Arroio Trinta ;SC;2000;0,67
Artur Nogueira ;SP;2000;0,66
Aruanã ;GO;2000;0,50
Arujá ;SP;2000;0,67
Arvoredo ;SC;2000;0,57
Arvorezinha ;RS;2000;0,59
Ascurra ;SC;2000;0,60
Aspásia ;SP;2000;0,63
Assaí ;PR;2000;0,62
Assaré ;CE;2000;0,37
Assis Brasil ;AC;2000;0,43
Assis Chateaubriand ;PR;2000;0,68
Assis ;SP;2000;0,73
Assunção do Piauí ;PI;2000;0,34
Assunção ;PB;2000;0,41
Astolfo Dutra ;MG;2000;0,63
Astorga ;PR;2000;0,64
Atalaia ;AL;2000;0,41
Atalaia do Norte ;AM;2000;0,35
Atalaia ;PR;2000;0,65
Atalanta ;SC;2000;0,60
Ataléia ;MG;2000;0,46
Atibaia ;SP;2000;0,68
Atilio Vivacqua ;ES;2000;0,57
Augustinópolis ;TO;2000;0,46
Augusto Corrêa ;PA;2000;0,34
Augusto de Lima ;MG;2000;0,51
Augusto Pestana ;RS;2000;0,64
Augusto Severo ;RN;2000;0,45
Áurea ;RS;2000;0,58
Aurelino Leal ;BA;2000;0,37
Auriflama ;SP;2000;0,68
Aurilândia ;GO;2000;0,59
Aurora ;CE;2000;0,44
Aurora do Pará ;PA;2000;0,36
Aurora do Tocantins ;TO;2000;0,49
Aurora ;SC;2000;0,60
Autazes ;AM;2000;0,42
Avaí ;SP;2000;0,61
Avanhandava ;SP;2000;0,61
Avaré ;SP;2000;0,68
Aveiro ;PA;2000;0,37
Avelino Lopes ;PI;2000;0,37
Avelinópolis ;GO;2000;0,56
Axixá do Tocantins ;TO;2000;0,43
Axixá ;MA;2000;0,46
Babaçulândia ;TO;2000;0,40
Bacabal ;MA;2000;0,48
Bacabeira ;MA;2000;0,43
Bacuri ;MA;2000;0,40
Bacurituba ;MA;2000;0,37
Bady Bassitt ;SP;2000;0,69
Baependi ;MG;2000;0,58
Bagé ;RS;2000;0,66
Bagre ;PA;2000;0,33
Baía da Traição ;PB;2000;0,41
Baía Formosa ;RN;2000;0,46
Baianópolis ;BA;2000;0,38
Baião ;PA;2000;0,46
Baixa Grande ;BA;2000;0,42
Baixa Grande do Ribeiro ;PI;2000;0,35
Baixio ;CE;2000;0,45
Baixo Guandu ;ES;2000;0,59
Balbinos ;SP;2000;0,64
Baldim ;MG;2000;0,59
Baliza ;GO;2000;0,49
Balneário Arroio do Silva ;SC;2000;0,65
Balneário Barra do Sul ;SC;2000;0,64
Balneário Camboriú ;SC;2000;0,78
Balneário Gaivota ;SC;2000;0,63
Balneário Piçarras ;SC;2000;0,64
Balneário Pinhal ;RS;2000;0,62
Bálsamo ;SP;2000;0,71
Balsa Nova ;PR;2000;0,61
Balsas ;MA;2000;0,52
Bambuí ;MG;2000;0,65
Banabuiú ;CE;2000;0,46
Bananal ;SP;2000;0,63
Bananeiras ;PB;2000;0,40
Bandeira do Sul ;MG;2000;0,54
Bandeira ;MG;2000;0,43
Bandeirante ;SC;2000;0,55
Bandeirantes do Tocantins ;TO;2000;0,45
Bandeirantes ;MS;2000;0,54
Bandeirantes ;PR;2000;0,64
Bannach ;PA;2000;0,42
Banzaê ;BA;2000;0,39
Barão de Antonina ;SP;2000;0,59
Barão de Cocais ;MG;2000;0,61
Barão de Cotegipe ;RS;2000;0,63
Barão de Grajaú ;MA;2000;0,42
Barão de Melgaço ;MT;2000;0,45
Barão de Monte Alto ;MG;2000;0,50
Barão do Triunfo ;RS;2000;0,48
Barão ;RS;2000;0,62
Baraúna ;PB;2000;0,40
Baraúna ;RN;2000;0,41
Barbacena ;MG;2000;0,66
Barbalha ;CE;2000;0,52
Barbosa Ferraz ;PR;2000;0,58
Barbosa ;SP;2000;0,59
Barcarena ;PA;2000;0,55
Barcelona ;RN;2000;0,41
Barcelos ;AM;2000;0,38
Bariri ;SP;2000;0,70
Barra ;BA;2000;0,38
Barra Bonita ;SC;2000;0,54
Barra Bonita ;SP;2000;0,71
