Município;Estado;Ano de Referência;IDHM
São Bento ;MA;2005;0,52
São Bento ;PB;2005;0,49
São Bernardino ;SC;2005;0,59
São Bernardo do Campo ;SP;2005;0,77
São Bernardo ;MA;2005;0,46
São Bonifácio ;SC;2005;0,65
São Borja ;RS;2005;0,68
São Brás ;AL;2005;0,50
São Brás do Suaçuí ;MG;2005;0,61
São Braz do Piauí ;PI;2005;0,46
São Caetano de Odivelas ;PA;2005;0,52
São Caetano do Sul ;SP;2005;0,84
São Caitano ;PE;2005;0,50
São Carlos do Ivaí ;PR;2005;0,62
São Carlos ;SC;2005;0,72
São Carlos ;SP;2005;0,77
São Cristovão do Sul ;SC;2005;0,58
São Cristóvão ;SE;2005;0,59
São Desidério ;BA;2005;0,48
São Domingos ;BA;2005;0,55
São Domingos das Dores ;MG;2005;0,57
São Domingos do Araguaia ;PA;2005;0,52
São Domingos do Azeitão ;MA;2005;0,49
São Domingos do Capim ;PA;2005;0,44
São Domingos do Cariri ;PB;2005;0,54
São Domingos do Maranhão ;MA;2005;0,48
São Domingos do Norte ;ES;2005;0,62
São Domingos do Prata ;MG;2005;0,62
São Domingos do Sul ;RS;2005;0,72
São Domingos ;GO;2005;0,51
São Domingos ;PB;2005;0,44
São Domingos ;SC;2005;0,71
São Domingos ;SE;2005;0,49
São Felipe ;BA;2005;0,53
São Felipe D'Oeste ;RO;2005;0,55
São Félix ;BA;2005;0,56
São Félix de Balsas ;MA;2005;0,47
São Félix de Minas ;MG;2005;0,55
São Félix do Araguaia ;MT;2005;0,61
São Félix do Coribe ;BA;2005;0,54
São Félix do Piauí ;PI;2005;0,54
São Félix do Tocantins ;TO;2005;0,49
São Félix do Xingu ;PA;2005;0,51
São Fernando ;RN;2005;0,55
São Fidélis ;RJ;2005;0,64
São Francisco de Assis do Piauí ;PI;2005;0,35
São Francisco de Assis ;RS;2005;0,61
São Francisco de Goiás ;GO;2005;0,61
São Francisco de Itabapoana ;RJ;2005;0,56
São Francisco de Paula ;MG;2005;0,59
São Francisco de Paula ;RS;2005;0,63
São Francisco de Sales ;MG;2005;0,65
São Francisco do Brejão ;MA;2005;0,50
São Francisco do Conde ;BA;2005;0,59
São Francisco do Glória ;MG;2005;0,59
São Francisco do Guaporé ;RO;2005;0,51
São Francisco do Maranhão ;MA;2005;0,43
São Francisco do Oeste ;RN;2005;0,55
São Francisco do Pará ;PA;2005;0,54
São Francisco do Piauí ;PI;2005;0,45
São Francisco do Sul ;SC;2005;0,71
São Francisco ;MG;2005;0,55
São Francisco ;PB;2005;0,48
São Francisco ;SE;2005;0,51
São Francisco ;SP;2005;0,67
São Gabriel ;BA;2005;0,51
São Gabriel da Cachoeira ;AM;2005;0,54
São Gabriel da Palha ;ES;2005;0,66
São Gabriel do Oeste ;MS;2005;0,69
São Gabriel ;RS;2005;0,66
São Geraldo da Piedade ;MG;2005;0,52
São Geraldo do Araguaia ;PA;2005;0,50
São Geraldo do Baixio ;MG;2005;0,56
São Geraldo ;MG;2005;0,59
São Gonçalo do Abaeté ;MG;2005;0,61
São Gonçalo do Amarante ;CE;2005;0,55
São Gonçalo do Amarante ;RN;2005;0,59
São Gonçalo do Gurguéia ;PI;2005;0,46
São Gonçalo do Pará ;MG;2005;0,62
São Gonçalo do Piauí ;PI;2005;0,55
São Gonçalo do Rio Abaixo ;MG;2005;0,59
São Gonçalo do Rio Preto ;MG;2005;0,58
São Gonçalo do Sapucaí ;MG;2005;0,65
São Gonçalo dos Campos ;BA;2005;0,54
São Gonçalo ;RJ;2005;0,69
São Gotardo ;MG;2005;0,68
São Jerônimo da Serra ;PR;2005;0,58
São Jerônimo ;RS;2005;0,65
São João Batista do Glória ;MG;2005;0,66
São João Batista ;MA;2005;0,51
São João Batista ;SC;2005;0,70
São João da Baliza ;RR;2005;0,59
São João da Barra ;RJ;2005;0,60
São João da Boa Vista ;SP;2005;0,76
São João da Canabrava ;PI;2005;0,45
São João da Fronteira ;PI;2005;0,43
São João da Lagoa ;MG;2005;0,55
São João D'Aliança ;GO;2005;0,60
São João da Mata ;MG;2005;0,62
São João da Paraúna ;GO;2005;0,68
São João da Ponta ;PA;2005;0,51
São João da Ponte ;MG;2005;0,48
São João das Duas Pontes ;SP;2005;0,68
São João da Serra ;PI;2005;0,46
São João das Missões ;MG;2005;0,44
São João da Urtiga ;RS;2005;0,63
São João da Varjota ;PI;2005;0,45
São João de Iracema ;SP;2005;0,71
São João Del Rei ;MG;2005;0,71
São João de Meriti ;RJ;2005;0,67
São João de Pirabas ;PA;2005;0,47
São João do Araguaia ;PA;2005;0,44
São João do Arraial ;PI;2005;0,43
São João do Caiuá ;PR;2005;0,62
São João do Cariri ;PB;2005;0,54
São João do Carú ;MA;2005;0,38
São João do Itaperiú ;SC;2005;0,67
São João do Ivaí ;PR;2005;0,63
São João do Jaguaribe ;CE;2005;0,58
São João do Manhuaçu ;MG;2005;0,57
São João do Manteninha ;MG;2005;0,58
São João do Oeste ;SC;2005;0,70
São João do Oriente ;MG;2005;0,59
São João do Pacuí ;MG;2005;0,49
São João do Paraíso ;MA;2005;0,51
São João do Paraíso ;MG;2005;0,52
São João do Pau D'Alho ;SP;2005;0,69
São João do Piauí ;PI;2005;0,54
São João do Polêsine ;RS;2005;0,71
São João do Rio do Peixe ;PB;2005;0,52
São João do Sabugi ;RN;2005;0,59
São João do Soter ;MA;2005;0,42
São João dos Patos ;MA;2005;0,54
São João do Sul ;SC;2005;0,63
São João do Tigre ;PB;2005;0,45
São João do Triunfo ;PR;2005;0,56
São João Evangelista ;MG;2005;0,58
São João Nepomuceno ;MG;2005;0,66
São João ;PE;2005;0,48
São João ;PR;2005;0,68
São Joaquim da Barra ;SP;2005;0,72
São Joaquim de Bicas ;MG;2005;0,59
São Joaquim do Monte ;PE;2005;0,44
São Joaquim ;SC;2005;0,63
São Jorge D'Oeste ;PR;2005;0,66
São Jorge do Ivaí ;PR;2005;0,70
São Jorge do Patrocínio ;PR;2005;0,62
São Jorge ;RS;2005;0,68
São José da Barra ;MG;2005;0,70
São José da Bela Vista ;SP;2005;0,63
São José da Boa Vista ;PR;2005;0,60
São José da Coroa Grande ;PE;2005;0,53
São José da Lagoa Tapada ;PB;2005;0,43
São José da Laje ;AL;2005;0,48
São José da Lapa ;MG;2005;0,67
São José da Safira ;MG;2005;0,52
São José das Missões ;RS;2005;0,59
São José das Palmeiras ;PR;2005;0,64
São José da Tapera ;AL;2005;0,41
São José da Varginha ;MG;2005;0,63
São José da Vitória ;BA;2005;0,45
São José de Caiana ;PB;2005;0,45
São José de Espinharas ;PB;2005;0,48
São José de Mipibu ;RN;2005;0,55
São José de Piranhas ;PB;2005;0,50
São José de Princesa ;PB;2005;0,48
São José de Ribamar ;MA;2005;0,63
São José de Ubá ;RJ;2005;0,59
São José do Alegre ;MG;2005;0,66
São José do Barreiro ;SP;2005;0,65
São José do Belmonte ;PE;2005;0,52
São José do Bonfim ;PB;2005;0,48
São José do Brejo do Cruz ;PB;2005;0,48
São José do Calçado ;ES;2005;0,64
São José do Campestre ;RN;2005;0,52
São José do Cedro ;SC;2005;0,67
São José do Cerrito ;SC;2005;0,56
São José do Divino ;MG;2005;0,58
São José do Divino ;PI;2005;0,45
São José do Egito ;PE;2005;0,57
São José do Goiabal ;MG;2005;0,60
São José do Herval ;RS;2005;0,63
São José do Hortêncio ;RS;2005;0,66
São José do Inhacorá ;RS;2005;0,67
São José do Jacuípe ;BA;2005;0,46
São José do Jacuri ;MG;2005;0,52
São José do Mantimento ;MG;2005;0,59
São José do Norte ;RS;2005;0,55
São José do Ouro ;RS;2005;0,70
São José do Peixe ;PI;2005;0,48
São José do Piauí ;PI;2005;0,45
São José do Povo ;MT;2005;0,58
São José do Rio Claro ;MT;2005;0,62
São José do Rio Pardo ;SP;2005;0,73
São José do Rio Preto ;SP;2005;0,77
São José do Sabugi ;PB;2005;0,54
São José dos Ausentes ;RS;2005;0,58
São José dos Basílios ;MA;2005;0,46
São José dos Campos ;SP;2005;0,77
São José dos Cordeiros ;PB;2005;0,47
São José do Seridó ;RN;2005;0,64
São José dos Pinhais ;PR;2005;0,70
São José dos Quatro Marcos ;MT;2005;0,64
São José dos Ramos ;PB;2005;0,44
São José do Sul ;RS;2005;0,64
São José do Vale do Rio Preto ;RJ;2005;0,60
São José do Xingu ;MT;2005;0,57
São José ;SC;2005;0,76
São Julião ;PI;2005;0,51
São Leopoldo ;RS;2005;0,69
São Lourenço da Mata ;PE;2005;0,59
São Lourenço da Serra ;SP;2005;0,66
São Lourenço do Oeste ;SC;2005;0,70
São Lourenço do Piauí ;PI;2005;0,49
São Lourenço do Sul ;RS;2005;0,63
São Lourenço ;MG;2005;0,73
São Ludgero ;SC;2005;0,71
São Luís de Montes Belos ;GO;2005;0,67
São Luís do Curu ;CE;2005;0,56
São Luís do Paraitinga ;SP;2005;0,63
São Luis do Piauí ;PI;2005;0,46
São Luís do Quitunde ;AL;2005;0,46
São Luís Gonzaga do Maranhão ;MA;2005;0,43
São Luís ;MA;2005;0,71
São Luíz do Norte ;GO;2005;0,57
São Luiz Gonzaga ;RS;2005;0,68
São Luiz ;RR;2005;0,59
São Mamede ;PB;2005;0,56
São Manoel do Paraná ;PR;2005;0,67
São Manuel ;SP;2005;0,69
São Marcos ;RS;2005;0,73
São Martinho da Serra ;RS;2005;0,59
São Martinho ;RS;2005;0,68
São Martinho ;SC;2005;0,68
São Mateus do Maranhão ;MA;2005;0,49
São Mateus do Sul ;PR;2005;0,65
São Mateus ;ES;2005;0,67
São Miguel Arcanjo ;SP;2005;0,64
São Miguel da Baixa Grande ;PI;2005;0,44
São Miguel da Boa Vista ;SC;2005;0,62
São Miguel das Matas ;BA;2005;0,51
São Miguel das Missões ;RS;2005;0,61
São Miguel de Taipu ;PB;2005;0,45
São Miguel do Aleixo ;SE;2005;0,47
São Miguel do Anta ;MG;2005;0,59
São Miguel do Araguaia ;GO;2005;0,60
São Miguel do Fidalgo ;PI;2005;0,43
São Miguel do Gostoso ;RN;2005;0,49
São Miguel do Guamá ;PA;2005;0,52
São Miguel do Guaporé ;RO;2005;0,52
São Miguel do Iguaçu ;PR;2005;0,66
São Miguel do Oeste ;SC;2005;0,75
São Miguel do Passa Quatro ;GO;2005;0,62
São Miguel dos Campos ;AL;2005;0,56
São Miguel dos Milagres ;AL;2005;0,51
São Miguel do Tapuio ;PI;2005;0,44
São Miguel do Tocantins ;TO;2005;0,51
São Miguel ;RN;2005;0,52
São Nicolau ;RS;2005;0,58
São Patrício ;GO;2005;0,60
São Paulo das Missões ;RS;2005;0,62
São Paulo de Olivença ;AM;2005;0,41
São Paulo do Potengi ;RN;2005;0,54
São Paulo ;SP;2005;0,77
São Pedro da Água Branca ;MA;2005;0,50
São Pedro da Aldeia ;RJ;2005;0,65
São Pedro da Cipa ;MT;2005;0,61
São Pedro da Serra ;RS;2005;0,68
São Pedro das Missões ;RS;2005;0,56
São Pedro da União ;MG;2005;0,62
São Pedro de Alcântara ;SC;2005;0,68
São Pedro do Butiá ;RS;2005;0,71
São Pedro do Iguaçu ;PR;2005;0,63
São Pedro do Ivaí ;PR;2005;0,67
São Pedro do Paraná ;PR;2005;0,65
São Pedro do Piauí ;PI;2005;0,51
São Pedro dos Crentes ;MA;2005;0,47
São Pedro dos Ferros ;MG;2005;0,60
São Pedro do Suaçuí ;MG;2005;0,54
São Pedro do Sul ;RS;2005;0,66
São Pedro do Turvo ;SP;2005;0,65
São Pedro ;RN;2005;0,48
São Pedro ;SP;2005;0,71
São Rafael ;RN;2005;0,53
São Raimundo das Mangabeiras ;MA;2005;0,52
São Raimundo do Doca Bezerra ;MA;2005;0,42
São Raimundo Nonato ;PI;2005;0,57
São Roberto ;MA;2005;0,39
São Romão ;MG;2005;0,57
São Roque de Minas ;MG;2005;0,62
São Roque do Canaã ;ES;2005;0,65
São Roque ;SP;2005;0,73
São Salvador do Tocantins ;TO;2005;0,50
São Sebastião ;AL;2005;0,44
São Sebastião da Amoreira ;PR;2005;0,65
São Sebastião da Bela Vista ;MG;2005;0,61
São Sebastião da Boa Vista ;PA;2005;0,48
São Sebastião da Grama ;SP;2005;0,65
São Sebastião da Vargem Alegre ;MG;2005;0,58
São Sebastião de Lagoa de Roça ;PB;2005;0,51
São Sebastião do Alto ;RJ;2005;0,60
São Sebastião do Anta ;MG;2005;0,51
São Sebastião do Caí ;RS;2005;0,70
São Sebastião do Maranhão ;MG;2005;0,50
São Sebastião do Oeste ;MG;2005;0,58
São Sebastião do Paraíso ;MG;2005;0,68
São Sebastião do Passé ;BA;2005;0,58
São Sebastião do Rio Preto ;MG;2005;0,57
São Sebastião do Rio Verde ;MG;2005;0,63
São Sebastião do Tocantins ;TO;2005;0,50
São Sebastião do Uatumã ;AM;2005;0,50
São Sebastião do Umbuzeiro ;PB;2005;0,51
São Sebastião ;SP;2005;0,71
São Sepé ;RS;2005;0,66
São Simão ;GO;2005;0,65
São Simão ;SP;2005;0,72
São Thomé das Letras ;MG;2005;0,59
São Tiago ;MG;2005;0,61
São Tomás de Aquino ;MG;2005;0,64
São Tomé ;PR;2005;0,66
São Tomé ;RN;2005;0,50
São Valentim do Sul ;RS;2005;0,71
São Valentim ;RS;2005;0,62
São Valério do Sul ;RS;2005;0,58
São Valério ;TO;2005;0,54
São Vendelino ;RS;2005;0,70
São Vicente de Minas ;MG;2005;0,66
São Vicente do Sul ;RS;2005;0,63
São Vicente Ferrer ;MA;2005;0,50
São Vicente Ferrer ;PE;2005;0,48
São Vicente ;RN;2005;0,56
São Vicente ;SP;2005;0,72
Sapeaçu ;BA;2005;0,55
Sapé ;PB;2005;0,48
Sapezal ;MT;2005;0,66
Sapiranga ;RS;2005;0,65
Sapopema ;PR;2005;0,57
Sapucaia do Sul ;RS;2005;0,68
Sapucaia ;PA;2005;0,52
Sapucaia ;RJ;2005;0,63
Sapucaí-Mirim ;MG;2005;0,63
Saquarema ;RJ;2005;0,64
Sarandi ;PR;2005;0,65
Sarandi ;RS;2005;0,72
Sarapuí ;SP;2005;0,65
Sardoá ;MG;2005;0,57
Sarutaiá ;SP;2005;0,60
Sarzedo ;MG;2005;0,65
Sátiro Dias ;BA;2005;0,42
Satuba ;AL;2005;0,60
Satubinha ;MA;2005;0,40
Saubara ;BA;2005;0,55
Saudade do Iguaçu ;PR;2005;0,63
Saudades ;SC;2005;0,69
Saúde ;BA;2005;0,48
Schroeder ;SC;2005;0,74
Seabra ;BA;2005;0,54
Seara ;SC;2005;0,72
Sebastianópolis do Sul ;SP;2005;0,72
Sebastião Barros ;PI;2005;0,43
Sebastião Laranjeiras ;BA;2005;0,53
Sebastião Leal ;PI;2005;0,46
Seberi ;RS;2005;0,65
Sede Nova ;RS;2005;0,64
Segredo ;RS;2005;0,59
Selbach ;RS;2005;0,76
Selvíria ;MS;2005;0,61
Sem-Peixe ;MG;2005;0,57
Senador Alexandre Costa ;MA;2005;0,44
Senador Amaral ;MG;2005;0,59
Senador Canedo ;GO;2005;0,59
Senador Cortes ;MG;2005;0,59
Senador Elói de Souza ;RN;2005;0,50
Senador Firmino ;MG;2005;0,60
Senador Georgino Avelino ;RN;2005;0,52
Senador Guiomard ;AC;2005;0,56
Senador José Bento ;MG;2005;0,64
Senador José Porfírio ;PA;2005;0,43
Senador La Rocque ;MA;2005;0,49
Senador Modestino Gonçalves ;MG;2005;0,55
Senador Pompeu ;CE;2005;0,55
Senador Rui Palmeira ;AL;2005;0,40
Senador Sá ;CE;2005;0,48
Senador Salgado Filho ;RS;2005;0,64
Sena Madureira ;AC;2005;0,52
Sengés ;PR;2005;0,61
Senhora de Oliveira ;MG;2005;0,55
Senhora do Porto ;MG;2005;0,48
Senhora dos Remédios ;MG;2005;0,54
Senhor do Bonfim ;BA;2005;0,59
Sentinela do Sul ;RS;2005;0,61
Sento Sé ;BA;2005;0,48
Serafina Corrêa ;RS;2005;0,72
Sericita ;MG;2005;0,51
Seridó ;PB;2005;0,45
Seringueiras ;RO;2005;0,51
Sério ;RS;2005;0,58
Seritinga ;MG;2005;0,59
Seropédica ;RJ;2005;0,64
Serra Alta ;SC;2005;0,69
Serra Azul de Minas ;MG;2005;0,49
Serra Azul ;SP;2005;0,64
Serra Branca ;PB;2005;0,55
Serra da Raiz ;PB;2005;0,53
Serra da Saudade ;MG;2005;0,64
Serra de São Bento ;RN;2005;0,49
Serra do Mel ;RN;2005;0,53
Serra do Navio ;AP;2005;0,63
Serra do Ramalho ;BA;2005;0,50
Serra dos Aimorés ;MG;2005;0,59
Serra do Salitre ;MG;2005;0,64
Serra Dourada ;BA;2005;0,51
Serra ;ES;2005;0,68
Serra Grande ;PB;2005;0,48
Serrana ;SP;2005;0,67
Serra Negra do Norte ;RN;2005;0,52
Serra Negra ;SP;2005;0,73
Serrania ;MG;2005;0,63
Serrano do Maranhão ;MA;2005;0,42
Serranópolis de Minas ;MG;2005;0,53
Serranópolis do Iguaçu ;PR;2005;0,72
Serranópolis ;GO;2005;0,62
Serranos ;MG;2005;0,57
Serra Nova Dourada ;MT;2005;0,57
Serra Preta ;BA;2005;0,47
Serra Redonda ;PB;2005;0,48
Serraria ;PB;2005;0,46
Serra Talhada ;PE;2005;0,57
Serrinha ;BA;2005;0,55
Serrinha dos Pintos ;RN;2005;0,52
Serrinha ;RN;2005;0,49
Serrita ;PE;2005;0,49
Serrolândia ;BA;2005;0,51
Serro ;MG;2005;0,57
Sertaneja ;PR;2005;0,69
Sertânia ;PE;2005;0,54
Sertanópolis ;PR;2005;0,70
Sertão ;RS;2005;0,71
Sertão Santana ;RS;2005;0,63
Sertãozinho ;PB;2005;0,52
Sertãozinho ;SP;2005;0,72
Sete Barras ;SP;2005;0,60
Sete de Setembro ;RS;2005;0,60
Sete Lagoas ;MG;2005;0,71
Sete Quedas ;MS;2005;0,56
Setubinha ;MG;2005;0,46
Severiano de Almeida ;RS;2005;0,69
Severiano Melo ;RN;2005;0,53
Severínia ;SP;2005;0,67
Siderópolis ;SC;2005;0,72
Sidrolândia ;MS;2005;0,62
Sigefredo Pacheco ;PI;2005;0,46
Silva Jardim ;RJ;2005;0,60
Silvânia ;GO;2005;0,64
Silvanópolis ;TO;2005;0,55
Silveira Martins ;RS;2005;0,69
Silveirânia ;MG;2005;0,60
Silveiras ;SP;2005;0,62
Silves ;AM;2005;0,55
Silvianópolis ;MG;2005;0,63
Simão Dias ;SE;2005;0,51
Simão Pereira ;MG;2005;0,60
Simões Filho ;BA;2005;0,60
Simões ;PI;2005;0,46
Simolândia ;GO;2005;0,55
Simonésia ;MG;2005;0,56
Simplício Mendes ;PI;2005;0,54
Sinimbu ;RS;2005;0,57
Sinop ;MT;2005;0,68
Siqueira Campos ;PR;2005;0,65
Sirinhaém ;PE;2005;0,51
Siriri ;SE;2005;0,53
Sítio D'Abadia ;GO;2005;0,55
Sítio do Mato ;BA;2005;0,47
Sítio do Quinto ;BA;2005;0,44
Sítio Novo do Tocantins ;TO;2005;0,52
Sítio Novo ;MA;2005;0,46
Sítio Novo ;RN;2005;0,48
Sobradinho ;BA;2005;0,57
Sobradinho ;RS;2005;0,69
Sobrado ;PB;2005;0,48
Sobral ;CE;2005;0,62
Sobrália ;MG;2005;0,57
Socorro do Piauí ;PI;2005;0,44
Socorro ;SP;2005;0,68
Solânea ;PB;2005;0,50
Soledade de Minas ;MG;2005;0,64
Soledade ;PB;2005;0,52
Soledade ;RS;2005;0,68
Solidão ;PE;2005;0,49
Solonópole ;CE;2005;0,53
Sombrio ;SC;2005;0,67
Sonora ;MS;2005;0,61
Sooretama ;ES;2005;0,59
Sorocaba ;SP;2005;0,76
Sorriso ;MT;2005;0,70
Sossêgo ;PB;2005;0,47
Soure ;PA;2005;0,56
Sousa ;PB;2005;0,58
Souto Soares ;BA;2005;0,49
Sucupira do Norte ;MA;2005;0,48
Sucupira do Riachão ;MA;2005;0,46
Sucupira ;TO;2005;0,55
Sud Mennucci ;SP;2005;0,69
Sul Brasil ;SC;2005;0,62
Sulina ;PR;2005;0,65
Sumaré ;SP;2005;0,71
Sumé ;PB;2005;0,54
Sumidouro ;RJ;2005;0,55
Surubim ;PE;2005;0,56
Sussuapara ;PI;2005;0,48
Suzanápolis ;SP;2005;0,64
Suzano ;SP;2005;0,71
Tabaí ;RS;2005;0,65
Tabaporã ;MT;2005;0,59
Tabapuã ;SP;2005;0,69
Tabatinga ;AM;2005;0,54
Tabatinga ;SP;2005;0,65
Tabira ;PE;2005;0,53
Taboão da Serra ;SP;2005;0,73
Tabocas do Brejo Velho ;BA;2005;0,51
Taboleiro Grande ;RN;2005;0,55
Tabuleiro do Norte ;CE;2005;0,58
Tabuleiro ;MG;2005;0,61
Tacaimbó ;PE;2005;0,47
Tacaratu ;PE;2005;0,48
Taciba ;SP;2005;0,67
Tacima ;PB;2005;0,46
Tacuru ;MS;2005;0,53
Taguaí ;SP;2005;0,66
Taguatinga ;TO;2005;0,53
Taiaçu ;SP;2005;0,66
Tailândia ;PA;2005;0,50
Taiobeiras ;MG;2005;0,59
Taió ;SC;2005;0,70
Taipas do Tocantins ;TO;2005;0,48
Taipu ;RN;2005;0,47
Taiúva ;SP;2005;0,73
Talismã ;TO;2005;0,56
Tamandaré ;PE;2005;0,49
Tamarana ;PR;2005;0,56
Tambaú ;SP;2005;0,67
Tamboara ;PR;2005;0,68
Tamboril ;CE;2005;0,47
Tamboril do Piauí ;PI;2005;0,40
Tanabi ;SP;2005;0,70
Tangará da Serra ;MT;2005;0,67
Tangará ;RN;2005;0,52
Tangará ;SC;2005;0,66
Tanguá ;RJ;2005;0,58
Tanhaçu ;BA;2005;0,50
Tanque D'Arca ;AL;2005;0,47
Tanque do Piauí ;PI;2005;0,47
Tanque Novo ;BA;2005;0,50
Tanquinho ;BA;2005;0,54
Taparuba ;MG;2005;0,60
Tapauá ;AM;2005;0,39
Tapejara ;PR;2005;0,64
Tapejara ;RS;2005;0,71
Tapera ;RS;2005;0,70
Taperoá ;BA;2005;0,47
Taperoá ;PB;2005;0,49
Tapes ;RS;2005;0,65
Tapiraí ;MG;2005;0,60
Tapiraí ;SP;2005;0,63
Tapira ;MG;2005;0,64
Tapiramutá ;BA;2005;0,49
Tapira ;PR;2005;0,65
Tapiratiba ;SP;2005;0,69
Tapurah ;MT;2005;0,66
Taquaraçu de Minas ;MG;2005;0,58
Taquaral de Goiás ;GO;2005;0,64
Taquaral ;SP;2005;0,69
Taquarana ;AL;2005;0,45
Taquara ;RS;2005;0,69
Taquari ;RS;2005;0,68
Taquaritinga do Norte ;PE;2005;0,55
Taquaritinga ;SP;2005;0,70
Taquarituba ;SP;2005;0,64
Taquarivaí ;SP;2005;0,58
Taquaruçu do Sul ;RS;2005;0,66
Taquarussu ;MS;2005;0,57
Tarabai ;SP;2005;0,66
Tarauacá ;AC;2005;0,46
Tarrafas ;CE;2005;0,47
Tartarugalzinho ;AP;2005;0,51
Tarumã ;SP;2005;0,70
Tarumirim ;MG;2005;0,57
Tasso Fragoso ;MA;2005;0,52
Tatuí ;SP;2005;0,71
Tauá ;CE;2005;0,55
Taubaté ;SP;2005;0,76
Tavares ;PB;2005;0,47
Tavares ;RS;2005;0,59
Tefé ;AM;2005;0,53
Teixeira de Freitas ;BA;2005;0,61
Teixeira ;PB;2005;0,51
Teixeiras ;MG;2005;0,61
Teixeira Soares ;PR;2005;0,62
Teixeirópolis ;RO;2005;0,53
Tejuçuoca ;CE;2005;0,50
Tejupá ;SP;2005;0,60
Telêmaco Borba ;PR;2005;0,68
Telha ;SE;2005;0,52
Tenente Ananias ;RN;2005;0,49
Tenente Laurentino Cruz ;RN;2005;0,54
Tenente Portela ;RS;2005;0,65
Tenório ;PB;2005;0,47
Teodoro Sampaio ;BA;2005;0,53
Teodoro Sampaio ;SP;2005;0,68
Teofilândia ;BA;2005;0,46
Teófilo Otoni ;MG;2005;0,64
Teolândia ;BA;2005;0,44
Teotônio Vilela ;AL;2005;0,47
Terenos ;MS;2005;0,59
Teresina de Goiás ;GO;2005;0,57
Teresina ;PI;2005;0,68
Teresópolis ;RJ;2005;0,67
Terezinha ;PE;2005;0,44
Terezópolis de Goiás ;GO;2005;0,60
Terra Alta ;PA;2005;0,53
Terra Boa ;PR;2005;0,67
Terra de Areia ;RS;2005;0,65
Terra Nova ;BA;2005;0,52
Terra Nova do Norte ;MT;2005;0,60
Terra Nova ;PE;2005;0,54
Terra Rica ;PR;2005;0,65
Terra Roxa ;PR;2005;0,66
Terra Roxa ;SP;2005;0,67
Terra Santa ;PA;2005;0,56
Tesouro ;MT;2005;0,62
Teutônia ;RS;2005;0,70
Theobroma ;RO;2005;0,49
Tianguá ;CE;2005;0,55
Tibagi ;PR;2005;0,59
Tibau do Sul ;RN;2005;0,57
Tibau ;RN;2005;0,56
Tietê ;SP;2005;0,73
Tigrinhos ;SC;2005;0,62
Tijucas do Sul ;PR;2005;0,56
Tijucas ;SC;2005;0,71
Timbaúba dos Batistas ;RN;2005;0,59
Timbaúba ;PE;2005;0,55
Timbé do Sul ;SC;2005;0,64
Timbiras ;MA;2005;0,43
Timbó Grande ;SC;2005;0,55
Timbó ;SC;2005;0,73
Timburi ;SP;2005;0,65
Timon ;MA;2005;0,56
Timóteo ;MG;2005;0,73
Tio Hugo ;RS;2005;0,66
Tiradentes do Sul ;RS;2005;0,61
Tiradentes ;MG;2005;0,67
Tiros ;MG;2005;0,63
Tobias Barreto ;SE;2005;0,48
Tocantínia ;TO;2005;0,51
Tocantinópolis ;TO;2005;0,61
Tocantins ;MG;2005;0,64
Tocos do Moji ;MG;2005;0,62
Toledo ;MG;2005;0,59
Toledo ;PR;2005;0,73
Tomar do Geru ;SE;2005;0,44
Tomazina ;PR;2005;0,63
Tombos ;MG;2005;0,66
Tomé-Açu ;PA;2005;0,51
Tonantins ;AM;2005;0,43
Toritama ;PE;2005;0,54
Torixoréu ;MT;2005;0,65
Toropi ;RS;2005;0,59
Torre de Pedra ;SP;2005;0,64
Torres ;RS;2005;0,72
Torrinha ;SP;2005;0,70
Touros ;RN;2005;0,48
Trabiju ;SP;2005;0,64
Tracuateua ;PA;2005;0,44
Tracunhaém ;PE;2005;0,52
Traipu ;AL;2005;0,42
Trairão ;PA;2005;0,47
Trairi ;CE;2005;0,50
Trajano de Moraes ;RJ;2005;0,61
Tramandaí ;RS;2005;0,67
Travesseiro ;RS;2005;0,63
Tremedal ;BA;2005;0,43
Tremembé ;SP;2005;0,74
Três Arroios ;RS;2005;0,71
Três Barras do Paraná ;PR;2005;0,62
Três Barras ;SC;2005;0,65
Três Cachoeiras ;RS;2005;0,67
Três Corações ;MG;2005;0,68
Três Coroas ;RS;2005;0,66
Três de Maio ;RS;2005;0,70
Três Forquilhas ;RS;2005;0,60
Três Fronteiras ;SP;2005;0,69
Três Lagoas ;MS;2005;0,68
Três Marias ;MG;2005;0,69
Três Palmeiras ;RS;2005;0,64
Três Passos ;RS;2005;0,72
Três Pontas ;MG;2005;0,67
Três Ranchos ;GO;2005;0,66
Três Rios ;RJ;2005;0,67
Treviso ;SC;2005;0,69
Treze de Maio ;SC;2005;0,66
Treze Tílias ;SC;2005;0,73
Trindade do Sul ;RS;2005;0,62
Trindade ;GO;2005;0,63
Trindade ;PE;2005;0,52
Triunfo ;PB;2005;0,51
Triunfo ;PE;2005;0,61
Triunfo Potiguar ;RN;2005;0,49
Triunfo ;RS;2005;0,68
Trizidela do Vale ;MA;2005;0,51
Trombas ;GO;2005;0,61
Trombudo Central ;SC;2005;0,71
Tubarão ;SC;2005;0,76
Tucano ;BA;2005;0,48
Tucumã ;PA;2005;0,58
Tucunduva ;RS;2005;0,70
Tucuruí ;PA;2005;0,60
Tufilândia ;MA;2005;0,45
Tuiuti ;SP;2005;0,66
Tumiritinga ;MG;2005;0,54
